Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1524942978.42,0.19695,-0.06720599999999999,0.049255,0.070267,-1.0113530000000002,-0.057724,214.513779,-117.941193,-51.570129
1524942978.44,0.205056,-0.069217,0.094228,0.08238200000000001,-1.014664,-0.047623,213.837921,-118.313492,-52.013382
1524942978.46,0.216271,-0.06375499999999999,0.141395,0.084366,-1.027847,-0.039825,214.512009,-118.316849,-51.120117
1524942978.48,0.214794,-0.087108,0.20332,0.106598,-1.043793,-0.008194,214.212738,-118.091064,-51.042114
1524942978.5,0.207924,-0.11157,0.27055,0.055023,-1.026672,-0.011612,214.361862,-118.316635,-50.968613
1524942978.52,0.207556,-0.107295,0.301584,0.061386,-1.026855,-0.013489,214.286942,-118.316299,-51.042862
1524942978.54,0.216699,-0.106107,0.346578,0.075485,-1.032578,-0.026276,213.611786,-118.463715,-51.411118
1524942978.56,0.235661,-0.126089,0.39369,0.07543899999999999,-1.040649,-0.037003,213.385071,-118.764053,-50.733841
1524942978.58,0.240786,-0.160018,0.44813,0.071869,-1.035049,-0.05043,213.310654,-118.613708,-50.808105
1524942978.6,0.222192,-0.280293,0.503095,0.056183,-1.016373,-0.037399,212.934647,-118.837921,-50.579346
1524942978.62,0.156577,-0.3829550000000001,0.537475,-0.007384999999999998,-1.001587,0.009232,212.708221,-119.287033,-50.727081
1524942978.64,0.102014,-0.326102,0.48385,-0.05949400000000001,-1.003571,0.047455,211.883377,-119.433563,-51.393829
1524942978.66,0.061778,-0.267023,0.387553,-0.054962,-1.025772,0.053314,211.883041,-119.359451,-50.793823
1524942978.68,0.016218,-0.311131,0.287561,-0.021149,-1.029083,-0.045502,211.731796,-119.733887,-50.86731
1524942978.7,-0.113021,-0.787929,-0.080167,0.227646,-1.016098,-0.34315500000000004,211.508896,-119.28244,-51.390076
1524942978.72,-0.175345,-1.856049,-0.132305,0.320496,-0.999084,-0.351471,211.96022,-119.057999,-51.919601
1524942978.75,-0.166881,-3.039313,-0.091377,0.162003,-0.985458,-0.235352,211.96019,-119.580292,-53.719589
1524942978.77,-0.170078,-3.577328,-0.077687,0.164734,-0.975952,-0.13761900000000002,212.787781,-119.205856,-55.002869
1524942978.79,-0.204085,-3.911506,-0.078309,0.088211,-0.998215,-0.05972300000000001,212.714447,-119.203156,-56.652145
1524942978.81,-0.251961,-4.209697,-0.117381,0.038788,-1.035873,-0.013244999999999998,212.7173,-118.900467,-58.452164
1524942978.83,-0.288532,-4.461,-0.158308,0.062592,-1.019043,0.046204,212.418808,-119.046539,-60.47418199999999
1524942978.85,-0.271547,-4.565027,-0.146871,0.045395,-1.010681,0.11644000000000003,212.272964,-118.741486,-63.547729
1524942978.87,-0.267475,-4.58197,-0.110548,-0.02298,-0.997635,0.136734,211.600357,-118.58667,-65.416
1524942978.89,-0.259502,-4.366016,-0.061423,-0.026443,-0.992065,0.157913,211.00293,-118.431854,-67.435028
1524942978.91,-0.25882,-4.1342120000000016,-0.046509,0.000839,-1.017731,0.180557,209.955841,-118.125916,-69.299561
1524942978.93,-0.24513,-3.910798,-0.040095,0.031998,-0.983688,0.180176,209.057281,-118.121094,-70.715561
1524942978.95,-0.227041,-3.689477,-0.043285,0.056152,-0.981262,0.177261,207.785706,-117.739151,-72.802856
1524942978.97,-0.203175,-3.494695,-0.061522,0.063324,-0.967255,0.156876,206.961838,-117.735001,-73.919617
1524942978.99,-0.154041,-3.261398,-0.079412,0.05972300000000001,-0.953857,0.20607,205.987579,-117.805634,-74.884872
1524942979.01,-0.095196,-2.930192,-0.098946,0.005783,-0.961456,0.215515,204.789093,-117.650589,-75.84788499999998
1524942979.03,-0.052376,-2.481131,-0.13305999999999998,-0.026672,-0.977402,0.188385,203.89035,-117.49678,-76.588898
1524942979.05,-0.014355,-1.97152,-0.176572,-0.008376999999999999,-0.997009,0.117157,202.767868,-117.116638,-77.777664
1524942979.07,-0.010814,-1.48771,-0.170172,-0.001434,-1.0115809999999998,0.053131,202.91684,-117.267868,-77.254166
1524942979.09,0.0033740000000000003,-1.223875,-0.148605,-0.0008089999999999999,-0.987595,0.020279,202.467728,-117.265167,-78.14967299999998
1524942979.13,0.038499,-0.979016,-0.167614,0.082764,-0.963547,-0.058502,201.493073,-117.187149,-78.214935
1524942979.15,0.047263,-0.864042,-0.09539,0.005493,-1.015656,0.024689,201.268631,-117.26023899999998,-79.037674
1524942979.18,0.061116,-0.596997,-0.044932,0.010574,-1.013199,0.09198,200.819046,-117.03447,-78.658188
1524942979.2,0.076864,-0.017409,-0.072256,-0.07016,-1.057724,0.108414,200.66774,-117.409012,-78.656677
1524942979.22,0.070328,0.101609,-0.07499600000000001,-0.104218,-1.088577,0.016922,200.818451,-117.184586,-78.583191
1524942979.24,-0.044525,-0.004788000000000001,-0.13510999999999998,0.046356,-0.972183,-0.11076400000000003,201.193222,-117.186035,-78.361923
1524942979.26,0.000278,-0.069159,-0.061265,0.137848,-1.014389,-0.035141000000000006,201.044159,-117.109589,-79.035431
1524942979.28,-0.056648,-0.258863,0.045534,-0.134949,-1.001801,-0.011749,200.818558,-117.109802,-78.43318199999999
1524942979.3,-0.068412,-0.152825,-0.160524,-0.115967,-0.924622,0.015579,201.043427,-117.259903,-78.810425
1524942979.32,-0.031154,0.14296199999999998,-0.331181,-0.050278,-0.951859,-0.012543,201.044052,-117.035141,-78.660431
1524942979.34,-0.053769,0.061935,-0.33918200000000004,0.031311,-1.018555,-0.078827,201.420181,-116.885361,-79.264191
1524942979.36,-0.051816,0.083216,-0.34228400000000003,0.064926,-0.979355,-0.086716,201.494461,-117.110474,-79.339935
1524942979.38,-0.056792,0.146967,-0.337766,0.034317,-1.008759,-0.05101,201.795135,-116.81192,-78.967957
1524942979.4,-0.075401,0.168072,-0.317485,0.07449299999999999,-1.0113219999999998,-0.021378,202.470978,-116.588837,-79.04969799999998
1524942979.42,-0.067887,0.21178400000000006,-0.26055300000000003,0.106293,-1.033752,-0.054229999999999993,202.545547,-116.738953,-79.125458
1524942979.44,-0.074739,0.102246,-0.214014,0.116241,-1.021179,-0.060455,203.070206,-116.815628,-79.055695
1524942979.46,-0.074366,0.032104,-0.181158,0.108078,-0.996307,-0.070236,203.147232,-116.365189,-79.50647
1524942979.48,-0.05868,0.051403,-0.165987,0.073074,-1.006927,-0.049896,203.296707,-116.366409,-78.98297099999998
1524942979.5,-0.067932,0.016228,-0.167276,0.112549,-1.026855,-0.031021,202.997803,-116.14006,-79.27996800000003
