,Unnamed: 0,Time,TimeRedundant,X,Y,Z
192,192,1525628536.731149,1525628536.731149,-0.33465900000000004,0.13555599999999998,0.352143
193,193,1525628536.7410939,1525628536.7410939,-0.35147399999999995,0.169727,0.366186
194,194,1525628536.751216,1525628536.751216,-0.363736,0.22412,0.399333
195,195,1525628536.761051,1525628536.761051,-0.373694,0.299816,0.4420310000000001
196,196,1525628536.770888,1525628536.770888,-0.384728,0.392571,0.480486
197,197,1525628536.78105,1525628536.78105,-0.407793,0.471531,0.4978
198,198,1525628536.791004,1525628536.791004,-0.4472640000000001,0.478094,0.497219
199,199,1525628536.800829,1525628536.800829,-0.478664,0.351401,0.485891
200,200,1525628536.810943,1525628536.810943,-0.448286,0.131716,0.484449
201,201,1525628536.8207881,1525628536.8207881,-0.376039,-0.113738,0.509102
202,202,1525628536.8325038,1525628536.8325038,-0.34059,-0.272717,0.560817
203,203,1525628536.8408961,1525628536.8408961,-0.365434,-0.313144,0.631368
204,204,1525628536.8506038,1525628536.8506038,-0.392263,-0.272559,0.697687
205,205,1525628536.860846,1525628536.860846,-0.390616,-0.21822600000000006,0.733857
206,206,1525628536.870683,1525628536.870683,-0.381985,-0.163905,0.73056
207,207,1525628536.880919,1525628536.880919,-0.403827,-0.13608,0.683996
208,208,1525628536.890783,1525628536.890783,-0.451745,-0.134775,0.604755
209,209,1525628536.900623,1525628536.900623,-0.461334,-0.185859,0.529302
210,210,1525628536.910738,1525628536.910738,-0.445001,-0.31381,0.495039
211,211,1525628536.920579,1525628536.920579,-0.429004,-0.431128,0.518255
212,212,1525628536.930617,1525628536.930617,-0.420895,-0.503667,0.585208
213,213,1525628536.940675,1525628536.940675,-0.407052,-0.50483,0.670188
214,214,1525628536.9505188,1525628536.9505188,-0.409311,-0.478207,0.741528
215,215,1525628536.960636,1525628536.960636,-0.447364,-0.440752,0.763282
216,216,1525628536.97047,1525628536.97047,-0.487063,-0.389412,0.735031
217,217,1525628536.980851,1525628536.980851,-0.505778,-0.380784,0.6863
